brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Schneider-Kreuznach,fixed_focal,TURQUOISE F1.9/10 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),10,,89,F/1.9 ... F/16,16,,,- | 0.26,,,,,,C,136,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f1-9-10mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F1.9/10 mm C-Mount motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),10,,89,F/1.9 ... F/16,16,,,- | 0.26,,,,,,C,180,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f1-9-10mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F1.9/10 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),10,,89,F/1.9 ... F/16,16,,,- | 0.26,,,,,,C,136,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f1-9-10mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F1.8/16 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,151,F/1.8 ... F/11,16,,,- | 0.27,,,,,,C,102,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f1-8-16mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F1.8/16 mm C-Mount motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,151,F/1.8 ... F/11,16,,,- | 0.27,,,,,,C,146,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f1-8-16mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F1.8/16 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,151,F/1.8 ... F/11,16,,,- | 0.27,,,,,,C,102,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f1-8-16mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F2.2/70 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),70,,729,F/2.2 ... F/32,16,,,- | 0.22,,,,,,C,200,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f2-2-70mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F2.2/70 mm C-Mount motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),70,,729,F/2.2 ... F/32,16,,,- | 0.22,,,,,,C,244,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f2-2-70mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,TURQUOISE F2.2/70 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),70,,729,F/2.2 ... F/32,16,,,- | 0.22,,,,,,C,200,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/turquoise/f2-2-70mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,AQUAMARINE F2.0/28 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),28,,150,F/2 ... F/16,24,,,- | 0.24,,,,,,C,78,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/aquamarine/f2-0-28mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,AQUAMARINE F2.0/28 mm C-Mount motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),28,,150,F/2 ... F/16,24,,,- | 0.24,,,,,,C,122,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/aquamarine/f2-0-28mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,AQUAMARINE F2.0/28 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),28,,150,F/2 ... F/16,24,,,- | 0.24,,,,,,C,78,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/aquamarine/f2-0-28mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,AQUAMARINE F2.0/28 mm TFL-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),28,,150,F/2 ... F/16,24,,,- | 0.24,,,,,,TFL-Mount,78,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/aquamarine/f2-0-28mm-tfl,schneider_cmount
Schneider-Kreuznach,fixed_focal,AQUAMARINE F2.0/35 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,183,F/2 ... F/22,24,,,- | 0.25,,,,,,C,90,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/aquamarine/f2-0-35mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,AQUAMARINE F2.0/35 mm TFL-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,183,F/2 ... F/22,24,,,- | 0.25,,,,,,TFL-Mount,90,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/aquamarine/f2-0-35mm-tfl,schneider_cmount
Schneider-Kreuznach,fixed_focal,OPAL F2.8/12 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),12,,104,F/2.8 ... F/22,17.6,,,- | 0.17,,,,,,C,145,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/opal/f2-8-12mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/12 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),12,,230,F/2.8 ... F/22,19.3,,,- | 0.18,,,,,,C,167,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-12mm-c,schneider_cmount
