alliedvision,스펙트럼,"SWIR, Visible SWIR",Visible,UV,Visible-NIR,SWIR,"eXtended SWIR, SWIR",eXtended SWIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alliedvision,스펙트럼 범위,400 nm to 1700 nm,300 nm to 1100 nm,200 nm to 1000 nm,200 nm to 1100 nm,900 nm to 1700 nm,1100 nm to 1900 nm,1200 nm to 2200 nm,400 nm to 1000 nm,350 nm to 1000 nm,380 nm to 1000 nm,200 nm to 400 nm,360 nm to 960 nm,1000 nm to 1000 nm,400 nm to 960 nm,950 nm to 1700 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentech,Lens Mount,C Mount,S Mount,Liquid lens integrated,M72 Mount,M95 Mount,F Mount,M42 Mount,CS Mount,No Lens Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentech,Interface Connector,Micro BNC (75 ohm) x 1,RJ45 connector x 1,USB3.0 micro B x 1,SDR x 2,SDR x 1,Micro BNC (75 ohm) x 2,FAKRA x 1 (Shared power and signal connector),Micro BNC (75 ohm) x 4,MDR x 2,BNC (75 ohm) x 1,DIN1.0/2.3 (75 ohm Jack) x 1,DIN1.0/2.3 (75 ohm Jack) x 4,BNC (75 Ω) x 1 個,HR10A-7R-6PB (Hirose) or equivalent x 1,QSFP+ Optical connector (Avago) x 1,SFP+ Optical connector (Avago ) x 2,HDMI x 1,BNC x 1,52808-1571 (Molex) x 1 (Common power/IO connector),BM8B-SRSS-TB (JST) x 1 (Common Power/IO connector),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,스펙트럼,SWIR,Color,Mono,SWIR (400nm ~ 1700nm),색상,단색,편광,400nm - 1700nm,900nm - 2500nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Supported Interfaces,GigE Vision,"GigE Vision, Camera Link, Camera Link HS, Gigabit Ethernet","Camera Link HS, Fiber Optic",Camera Link HS,Camera Link,"Camera Link, USB3 interfaces",PCIe and USB 3.2,USB 3.0,CoaXPress,PCIe or USB 3.0 Options,USB 3.2 Gen 2,PCIe and USB 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Spectrum Capability,Visible (400-700 nm),"Visible (400-700 nm), Near Infrared (700-1000 nm)","Ultraviolet (350-400 nm), Visible (400-700 nm), Near Infrared (700-1000 nm)","Visible (400-700 nm),Near Infrared (700-1000 nm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Spectrum,Color,Mono,Color & NIR-enhanced,RGBN,SWIR,800-1700nm,200–1100 nm,"Mono, UV","Mono, UV, NIR","Mono, NIR-enhanced",400–1000 nm,300–1100 nm,"Mono, SWIR, NIR","NIR, SWIR","UV, Mono, NIR","UV (200-400 nm) Visible (400-700 nm), Near Infrared (700-1100 nm)",400–700 nm,300 nm – 1000 nm,200 nm - 1050 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Lens Mount,M42 x 1 mm,M72 x 0.75 mm,M58 x 0.75 mm,M90 x 1 mm,N/A (lens included),C-mount,"C-Mount, F-Mount, T-Mount",C-Mount,F-Mount,"C-mount, optional C-to-spectrometer and C-to-F mount","F-mount, optional F-to-spectrometer and C-mount",Spectroscopy mount,"F-mount standard, other mounts available by special order","C-mount standard, other mounts available by special order",C - Mount,"C-mount, Spec mount","F-mount, Spec mount","C-Mount, Spec Mount",Spec Mount,"F-Mount, Spec Mount",F-mount,Spec mount,F-mount with integral 45mm shutter,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Data Interface,Gigabit Ethernet 1 Gbps,"Camera Link (Base, Medium, Full & Deca configuration)",Camera Link HS (CX4/AOC),Gigabit Ethernet 5 Gbps / 2.5 Gbps / 1 Gbps,Camera Link HS (LC),Camera Link,Camera Link HS (SFP+),"Camera Link HS, Fiber Optic","PCI-Express Gen 3, USB 3.2 10 Gbps",CoaXPress,Gigabit Ethernet 10 Gbps / 5 Gbps / 2.5 Gbps / 1 Gbps,USB 3.0,Camera Link HS,Camera Link (Base configuration),Camera Link (Deca configuration),CoaXPress (6.125 Gbps),USB 3.0 (5.0 Gbps),PCle,"PCle, USB 3.0",USB 3.2,USB 3.2 Gen 2 Interface,GigE,USB 2.0,USB 3.2 10 Gbps,USB 3.1 (10Gbps),,,,,,,,,,,,,,,,,,,,,,
teledyne,QE (Mono),700 nm,690 nm,Peak  @ 620 nm,Peak  @ 690 nm,Peak  @ 820 nm,670 nm,1550 nm,0.88,0.7,95%,91%,58 @520 nm,98%,54 @550 nm,63 @500 nm,62 @530 nm,60 @560 nm,62 @650 nm,65 @525 nm,70 @525 nm,70 @530 nm,51 @570 nm,55 @640 nm,72%,76%,73%,74%,82%,67%,60%,63%,59%,95 %,0.72,0.69,0.68,0.73,85%,80%,50%,99%,97%,75%,> 90%,> 95%,>95%,>90%
teledyne,Mounting,Spec Mount,"Two ¼""–20 threads per side","C-mount, optional C-to-spectrometer and C-to-F mount","F-mount, optional F-to-spectrometer and C-mount",One M3x0.5 thread per side,"C-mount, Spec mount","F-mount, Spec mount",Multiple M6 and 1/4-20 mounting points,1/4-20 mounting threadTeledyne Princeton Instruments Spectrograph compatible camera nose,1/4-20 mounting thread,"2x 1/4""-20 mounting points per side","One ¼""–20 thread per side",C-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Spectrum Capabilities,"UV (200-400 nm), Visible (400-700 nm), Near Infrared (700-1000 nm)",0.3-1.7 µm (VisGaAs)0.9-2.5 µm (HgCdTe),"UV (200-440 nm), Visible (400-700 nm), Near Infrared (700-1000 nm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,Color/Mono,Mono,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledyne,C-Mount Coupler Magnification,0.63x - 0.7x C-mount coupler,0.5x - 0.63x C-mount coupler,1.0x C-mount coupler,0.5x or 0.63x C-mount coupler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
