alliedvision_컬럼명,alliedvision_샘플데이터,basler_컬럼명,basler_샘플데이터,hikrobot_컬럼명,hikrobot_샘플데이터,huaray_컬럼명,huaray_샘플데이터,jai_컬럼명,jai_샘플데이터,lucid_컬럼명,lucid_샘플데이터,sentech_컬럼명,sentech_샘플데이터,teledyne_컬럼명,teledyne_샘플데이터
최대 프레임 속도 ROI 모드,"1280 x 1024 | 506 fps, 640 x 480 | 1869 fps, 400 x 300 | 4068 fps, 1280 x 64 | 7638 fps, 60 x 60 | 33390 fps, x | 120423 fps, | 1690 x 1710 | 285 fps, 1280 x 1024 | 604 fps, 1020 x 768 | 951 fps, 640 x 480 | 2327 fps, 1280 x 64 | 9385 fps, 120 x 60 | 38502 fps, x | 181000 fps, | 1696 x 1710 | 566 fps, 1280 x 1024 | 1200 fps, 640 x 480 | 4620 fps, 320 x 240 | 14900 fps, 128 x 128 | 42450 fps, x | 225000 fps, | 2336 x 1920 | 563 fps, 1920 x 1080 | 900 fps, 1024 x 768 | 1264 fps, 640 x 480 | 2020 fps, 128 x 128 | 7492 fps, x | 225000 fps, | 1280 x 864 | 3674 fps, 1280 x 768 | 4151 fps, 640 x 480 | 6576 fps, 128 x 128 | 23821 fps, x | 224673 fps,","에고 모션(Ego-motion, IMU)",,Response time,< 10 ms,Focus Control,,,,10GBASE-T GigE Vision 커넥터,M12,,,Sensor Type,CMOS | InGaAs | Linear InGaAs photodiode array | CCD | 2D InGaAs FPA
데이터 형식,3 × 8/10/12 Bit color | 1 × 8/10/12 Bit mono | 3 × 8/10/12 Bit color  or1 × 8/10/12 Bit mono  or4 × 8/10/12 RGB + NIR | 3 × 8/10/12 Bit color or1 × 8/10/12 Bit mono or | 3 × 8/10/12 Bit color or1 × 8/10/12 Bit mono or4 × 8/10/12 RGB + NIR,작업 범위,,Color palettes,"White Hot, Black Hot, Fusion 1, Rainbow, Fusion 2, Ironbow 1, Ironbow 2, Sepia, Color 1, Color 2, Ice Fire, Rain, Green Hot, Red Hot, Dark Blue | White Hot, Black Hot, Fusion 1, Rainbow, Fusion 2, Ironbow 1, Ironbow 2, Sepia, Color 1, Color 2, Ice Fire, Rain, Green Hot, Red Hot",Working Distance,,,,Conversion Gain,Normal and High Mode (High: 2.3x in analog domain),,,Shutter type,Global shutter | Time Delay Integration (TDI) | External | Rolling Shutter | Rolling and Global Shutter
최대 라인 속도 (트리리니어),68 kHz | 48 kHz | 90 kHz | 100 kHz | 60 kHz,운영 체제,,Image process,"Supports brightness, contrast, image detail strength, digital noise reduction (spatial and temporal) | Supports brightness, contrast, Gamma correction",Field of View (FOV),,,,2.5GBASE-T GigE Vision 커넥터,M12,,,Spectrum,Color | Mono | Color & NIR-enhanced | RGBN | SWIR
최대 라인 속도 (단일 라인),68 kHz | 100 kHz | 73 kHz | 250 kHz | 180 kHz,양산,now,Focal length,6.3 mm | 15 mm | 25 mm | 35 mm,Connector,,,,포함 된 액세서리,M8 GPIO IP67 Cap,,,Optical Filter,IR cut-off (650 nm)
최대 라인 속도 (쿼드리니어),68 kHz | 100 kHz | 80 kHz | 45 kHz | 60 kHz,소모 전력 PoE,4 W | 3.8 W | 3.9 W | 4.2 W | 3.7 W,Field of view,88.5° × 73.2° | 42.4° × 33.6° | 24.6° × 18.5° | 17.9° × 14.2°,Network Port,,,,포함 된 액세서리y,M8 GPIO IP67 Cap,,,Lens Mount,M42 x 1 mm | M72 x 0.75 mm | M58 x 0.75 mm | M90 x 1 mm | N/A (lens included)
사용자 데이터 메모리,No separate memory space,해상도,3.2 MP | 12.3 MP | 5 MP | 2.3 MP | 8 MP,Min. operation distance,0.1 m | 0.25 m | 0.45 m,Communication Mode,,,,전환 이득,일반 및 높음 모드 (높음: 아날로그 도메인에서 2.3배),,,Synchronization,"Image sync: Free-running, software & hardware trigger, action command | Timestamp Sync: PTP (IEEE1588) | Image sync: Free-running, software & hardware trigger | Image sync: Free-running, external trigger, CC1 trigger | Image sync: Free-running,  external trigger, CLHS trigger | Image sync: Free-running, external trigger, CLHS trigger"
,,디지털 출력,1.0 | 3.0 | 2.0 | 0.0,Space resolution,2.7,Communication protocol,,,,냉각,"없음 | TEC1,내부 방열판 | TEC1",,,Data Interface,"Gigabit Ethernet 1 Gbps | Camera Link (Base, Medium, Full & Deca configuration) | Camera Link HS (CX4/AOC) | Gigabit Ethernet 5 Gbps / 2.5 Gbps / 1 Gbps | Camera Link HS (LC)"
,,작동 중 주변 온도,-20 °C - 55 °C,Aperture,1.0,LED Indicator,,,,크로마 / 감도 범위,Mono / 400nm to 1700nm,,,Protection,IP30 | IP60 | IP40 | IPx
,,Compression Beyond 사용시 프레임 속도,up to 100 fps | up to 168 fps | up to 67 fps | up to 24 fps | up to 13 fps,Thermal object distance,0.6 m,Protection,,,,감도 범위,400nm ~ 1700nm(EMVA 1288 탭 참조) | 400 nm to 1700 nm,,,Acquisition Modes,"Continuous  / Single Frame | Continuous | Speed, Sensitivity, Sub-Electron, Dynamic Range, (Rolling Shutter, Effective Global Shutter, Programmable Scan Mode) | High Speed, Low Noise, HDR | Continuous  / Single Frame / Multi Frame"
,,비디오 출력 유형,Camera Link (medium) | Camera Link (full) | Camera Link (base),Temperature measurement range,–20 °C to 150 °C or 0 °C to 550 °C (–4 °F to 302 °F or 32 °F to 1022 °F),Casing Material,,,,냉각 능력,없음 | 열전 냉각(TEC)으로 센서 온도 유지 | 센서 온도를 유지하기 위해 전자식 냉각 소자(TEC)를 탑재,,,Exposure Control,"Hardware trigger, programmable via camera API | Hardware trigger, Individual Red, Green, Blue  programmable via camera API | Hardware trigger, Individual Red, Green, Blue, NIR  programmable via camera API | Hardware trigger, Multi-Line mode programmable via camera API | Hardware trigger, Multi-Line modeprogrammable via camera API"
,,Camera Link ‍Clock,32.5/48/65/83.5 | 32.5 / 48 / 65 / 82 | 32.5 / 65 / 84,Temperature measurement accuracy,± 2 °C (35.6 °F) or ± 2% of the readings,Operating Humidity,,,,2.5 GigE Vision 커넥터,M12,,,Exposure Range,5 µs to 2500 µs | 5 µs to 3000 µs | 1 µs to 50 µs | 2.5 µs to 1310 µs | 14 µs to 30 seconds
,,파장 (Wavelength),,Max. temperature measurement distance,5 m (@ target size 01 × 0.1 m2),Sight,,,,데이터 스트림 유형,EVT 3.0,,,Flash Memory,32 MB non-volatile memory | 512 MB non-volatile memory | 517 MB non-volatile memory | 4 GB non-volatile memory | 8 MB non-volatile memory
,,스트리밍 형식,,Installation method,Supports installation from 4 sides | Installation via three-side screw holes,Ingress Protection,,,,조정 가능한 바이어스,"Low pass filter cutoff, positive event threshold, negative event threshold, refractory period, high pass filter",,,Gain Control,"Manual | High, Low | Manual, automatic (AGC) | Manual and automatic control | High Gain, High Capacity"
,,정확도( Accuracy),,Transmission interface,HDMI,Series,,,,EVS 관련 기능,"ROI, digital event mask, external trigger function",,,Image Buffer,90 MB | 224 MB | 32 MB | 430 MB | 220 MB
,,템포럴 노이즈,,Power,Typ. 1.9 W @ 12 VDC,Model,,,,이벤트 신호 처리,"Anti-flicker, event trail filter",,,Image Processing,"Image Compression (TurboDrive), Gamma, Lookup table,  Pixel correction, Flat line correction and Line spacial correction | Image Compression (TurboDrive), Pixel correction, Flat line correction and Line spacial correction | Lookup table,  Pixel correction and Flat line correction | Lookup table,  Pixel correction , Flat line correction, and Line spacial correction | Lookup table, Pixel correction and Flat line correction"
,,지연 (Latency),,Vision tool,"Image process: White balance, brightness, sharpness, contrast, saturation, digital gain, Gamma correction, digital WDR, noise reduction.
Auxiliary functions: Image reverse, cross line, grid line, ruler, scale, image freezing, capture, recording, storage.
Measurement: Report export, calibration, point measurement, line measurement, circle measurement, angle measurement, polygon measurement, polyline measurement, curve measurement, line/circle auto measurement.",Sensor Type,,,,소프트웨어 호환성,Arena SDK 및 Prophesee Metavision® SDK,,,Partial Image Modes,"ROI, Muti-ROI | Pixel binning,  ROI, Muti-ROI | Pixel binning, ROI, Muti-ROI | ROI | Pixel binning,  ROI"
