brand,model_name,slug,제조 업체,주문 번호,카메라 카테고리,카메라 시리즈,보증 (Warranty),센서 공급업체,센서,셔터,센서 타입,해상도 (HxV),픽셀 사이즈 HxV,라인 속도,모노크롬/컬러,빛스펙트럼,인터페이스,픽셀 비트 깊이,동기화,카메라 I/O 커넥터,전원 공급,하우징 종류,보호 등급,하우징 ‍사이즈 (L x W x H),무게 (Weight),렌즈 마운트,작동 온도,Basler,Conformity,제품군,제품 라인,센서 포맷,센서 대각선 길이,센서 크기,프레임 속도,카메라 데이터 커넥터,이미지 데이터 인터페이스,노출 제어,디지털 입력,범용 I/O,전원 요구사항 (일반적),측정된,양자 효율 (일반/최소),다크 노이즈 (일반/최대),포화 용량 (일반/최소),"다이나믹 레인지 (Dinamic Range, 일반/최소)",신호 대 노이즈비 (Signal to Noise Ratio)(일반/최소),기준,FOV (Field of View),심도(Depth) 이미지 해상도 및 FPS,측정 방식,"에고 모션(Ego-motion, IMU)",작업 범위,운영 체제,양산,소모 전력 PoE,해상도,디지털 출력,작동 중 주변 온도,Compression Beyond 사용시 프레임 속도,비디오 출력 유형,Camera Link ‍Clock,파장 (Wavelength),스트리밍 형식,정확도( Accuracy),템포럴 노이즈,지연 (Latency),조명 (Illumination),햇빛에서의 내구성,데이터 커넥터,전원 공급 장치,구성 요소,표준,프로그래밍 언어,타사 지원,마운팅 포인트,하우징 대체품,‍이미지 처리,양자 효율 - 녹색 (일반/최소),양자 효율 - 파란색 (일반/최소),양자 효율 - 빨간색 (일반/최소),납품 범위,심도(Depth) 해상도,작업 공간,초점 거리,프로세서 제조업체,수평 해상도(X축),높이 해상도 (Z축),배율,광원,이격 거리 (Clearance Distance),Heliotis,반복정밀도 (Z축),레이저 등급,Z축 선형성(+/- % of MR),스캔 속도,데이터포인트/프로파일,측정 거리,LMI,JAI
Basler,LMILMI Sensor Gocator 2670,lmi-sensor-gocator-2670,LMI,2731,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 280 mm x 55 mm,2120 g,,,,,,,,,,,,,,,,,,,,,,,,272 - 817 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67 - 197 μm,,,Blue laser (405 nm),495 mm,,10 nm,"2, 3R, 3B",0.05 %,approx. 0.6 kHz - 9 kHz,4192.0,1060 mm,,
Basler,LMILMI Sensor Gocator 2650,lmi-sensor-gocator-2650,LMI,2730,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 280 mm x 55 mm,2120 g,,,,,,,,,,,,,,,,,,,,,,,,190 - 430 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47 - 104 μm,,,Blue laser (405 nm),330 mm,,2.7 nm,"2, 3R, 3B",0.04 %,approx. 0.6 kHz - 9 kHz,4192.0,475 mm,,
Basler,HeliotisHeliotis Sensor H8 20x,heliotis-sensor-h8-20x,Heliotis,1446,3D 카메라,Heliotis heliInspect H8,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,254 mm x 58 mm x 100 mm,2500 g,,,,,,,,,,,,,,,,,,,,,,,,650 x 610 μm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 μm,20 nm,20x,Blue LED / Red LED,4.7 mm (Nikon Mirau) / 3.6 mm (Leica Mirau),,15 nm,,,,,40 mm,,
Basler,LMILMI Sensor Gocator 2510,lmi-sensor-gocator-2510,LMI,1428,3D 카메라,LMI Gocator 2500,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,46 mm x 80 mm x 110 mm,650 g,,,,,,,,,,,,,,,,,,,,,,,,13 - 14.5 mm (diffuse),,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 μm,,,Blue laser (405 nm),17 mm,,0.2 μm,2,0.015 %,2.4 kHz,1920.0,6 mm,,
Basler,LMILMI Sensor Gocator 2375,lmi-sensor-gocator-2375,LMI,1420,3D 카메라,LMI Gocator 2300,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,49 mm x 75 mm x 272 mm,1300 g,,,,,,,,,,,,,,,,,,,,,,,,324 - 1010 mm,,,,,,,,1 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255 - 790 μm,175 - 925 μm,,Red laser (660 nm),650 mm,,12 μm,2 / 3R,0.03 %,approx. 170 Hz - 5 kHz,1280.0,1350 mm,,
Basler,LMILMI Sensor Gocator 2410,lmi-sensor-gocator-2410,LMI,1422,3D 카메라,LMI Gocator 2400,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,44 mm x 90 mm x 145 mm,880 g,,,,,,,,,,,,,,,,,,,,,,,,10 mm,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8 - 6.2 μm,,,Blue laser (405 nm),19 mm,,0.2 μm,2M / 3R,0.015 %,approx. 200 Hz - 5 kHz,1710.0,6 mm,,
Basler,LMILMI Sensor Gocator 2880,lmi-sensor-gocator-2880,LMI,1433,3D 카메라,LMI Gocator 2800,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,49 mm x 75 mm x 498 mm,2560 g,,,,,,,,,,,,,,,,,,,,,,,,390 - 1260 mm,,,,,,,,1 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375 - 1100 μm,92 - 488 μm,,Red laser,350 mm,,,3R,0.04 %,approx. 380 Hz - 5 kHz,1280.0,800 mm,,
Basler,LMILMI Sensor Gocator 2420,lmi-sensor-gocator-2420,LMI,1423,3D 카메라,LMI Gocator 2400,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,44 mm x 90 mm x 145 mm,880 g,,,,,,,,,,,,,,,,,,,,,,,,27 - 32 mm,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 - 16.5 μm,,,Blue laser (405 nm),60 mm,,0.4 μm,2M / 3R,0.006 %,approx. 200 Hz - 5 kHz,1940.0,25 mm,,
Basler,LMILMI Sensor Gocator 2130,lmi-sensor-gocator-2130,LMI,1409,3D 카메라,LMI Gocator 2100,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,49 mm x 75 mm x 142 mm,740 g,,,,,,,,,,,,,,,,,,,,,,,,47 - 85 mm,,,,,,,,VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88 - 150 μm,6 - 14 μm,,Red laser (660 nm),90 mm,,0.8 μm,2 / 3R,0.01 %,approx. 170 Hz - 5 kHz,640.0,80 mm,,
Basler,HeliotisHeliotis Sensor H8 2x,heliotis-sensor-h8-2x,Heliotis,1450,3D 카메라,Heliotis heliInspect H8,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,254 mm x 58 mm x 100 mm,2500 g,,,,,,,,,,,,,,,,,,,,,,,,6.5 x 6.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 μm,20 nm,2x,Blue LED / Red LED,43.0 mm,,15 nm,,,,,40 mm,,
