brand	model_name	camera_type,sensor_name,_basler_vendor,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Basler	dmA2840-14gc (Color)	area,IMX546,Sony,,,11.0,"2/3""",8.3,2840.0,2840.0,2.74,2.74,global,14.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA2448-23gc (Color)	area,IMX547,Sony,,,8.75,"1/1.8""",5.1,2448.0,2048.0,2.74,2.74,global,23.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	a2A5060-35cc	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,35.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,29,29,42.8
Basler	a2A5060-35cm	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,35.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,29,29,42.8
Basler	raL4096-80km	line,DR-4k-7,Awaiba,,,,,,4096.0,1.0,7.0,7.0,global,,80.0,Visible,,,,"C-mount, F-mount, M42x0.75, M42x1, M58x0.75",Camera Link,,,CMOS,210,56,62,34
Basler	a2A5060-15ucBAS	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,15.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A5060-15umBAS	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,15.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A5060-21g5cBAS	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,21.0,,Visible,,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A5060-21g5mBAS	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,21.0,,Visible,,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A5060-4gcBAS	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,4.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A5060-4gmBAS	area,E2525A,,,,17.89,"1.1""",25.0,5064.0,5064.0,2.5,2.5,global,4.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	r2L2048-62g5c	line,GL3504,Gpixel,,,,,,,,7.0,7.0,global,,62.0,Visible,,,,C-mount,5GigE,,,,102,29,29,55.5
Basler	r2L2048-172g5m	line,GL3504,Gpixel,,,,,,,,7.0,7.0,global,,172.0,Visible,,,,C-mount,5GigE,,,,102,29,29,55.5
Basler	r2L4096-84cm	line,GL3504,Gpixel,,,,,,,,3.5,3.5,global,,84.0,Visible,,,,C-mount,CoaXPress,,,,85,29,29,55.5
Basler	r2L2048-172cm	line,GL3504,Gpixel,,,,,,,,7.0,7.0,global,,172.0,Visible,,,,C-mount,CoaXPress,,,,85,29,29,55.5
Basler	r2L2048-62cc	line,GL3504,Gpixel,,,,,,,,7.0,7.0,global,,62.0,Visible,,,,C-mount,CoaXPress,,,,85,29,29,55.5
